ID,Player,Age,Season,Market Value,Club,Nationality,Position,days_injured,injuries,games_missed,premier_league_appearances,premier_league_goals,premier_league_assists,premier_league_own_goals,premier_league_substitutions_on,premier_league_substitutions_off,premier_league_yellow_cards,premier_league_second_yellow_cards,premier_league_red_cards,premier_league_penalty_goals,premier_league_minutes_per_goal,premier_league_minutes_played,laliga_appearances,laliga_goals,laliga_assists,laliga_own_goals,laliga_substitutions_on,laliga_substitutions_off,laliga_yellow_cards,laliga_second_yellow_cards,laliga_red_cards,laliga_penalty_goals,laliga_minutes_per_goal,laliga_minutes_played,bundesliga_appearances,bundesliga_goals,bundesliga_assists,bundesliga_own_goals,bundesliga_substitutions_on,bundesliga_substitutions_off,bundesliga_yellow_cards,bundesliga_second_yellow_cards,bundesliga_red_cards,bundesliga_penalty_goals,bundesliga_minutes_per_goal,bundesliga_minutes_played,serie_a_appearances,serie_a_goals,serie_a_assists,serie_a_own_goals,serie_a_substitutions_on,serie_a_substitutions_off,serie_a_yellow_cards,serie_a_second_yellow_cards,serie_a_red_cards,serie_a_penalty_goals,serie_a_minutes_per_goal,serie_a_minutes_played,ligue_1_appearances,ligue_1_goals,ligue_1_assists,ligue_1_own_goals,ligue_1_substitutions_on,ligue_1_substitutions_off,ligue_1_yellow_cards,ligue_1_second_yellow_cards,ligue_1_red_cards,ligue_1_penalty_goals,ligue_1_minutes_per_goal,ligue_1_minutes_played,uefa_champions_league_appearances,uefa_champions_league_goals,uefa_champions_league_assists,uefa_champions_league_own_goals,uefa_champions_league_substitutions_on,uefa_champions_league_substitutions_off,uefa_champions_league_yellow_cards,uefa_champions_league_second_yellow_cards,uefa_champions_league_red_cards,uefa_champions_league_penalty_goals,uefa_champions_league_minutes_per_goal,uefa_champions_league_minutes_played,europa_league_appearances,europa_league_goals,europa_league_assists,europa_league_own_goals,europa_league_substitutions_on,europa_league_substitutions_off,europa_league_yellow_cards,europa_league_second_yellow_cards,europa_league_red_cards,europa_league_penalty_goals,europa_league_minutes_per_goal,europa_league_minutes_played,other_competitions_appearances,other_competitions_goals,other_competitions_assists,other_competitions_own_goals,other_competitions_substitutions_on,other_competitions_substitutions_off,other_competitions_yellow_cards,other_competitions_second_yellow_cards,other_competitions_red_cards,other_competitions_penalty_goals,other_competitions_minutes_per_goal,other_competitions_minutes_played
132098,Harry Kane,19,Dec-13,500000,Norwich City,['England'],Attack - Centre-Forward,53,1,20,4,0,0,0,3,1,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,6,0,10,6,0,0,0,0,614,1201
132098,Harry Kane,21,14/15,9000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,0,0,0,34,21,4,1,6,6,4,0,0,2,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,3,1,0,0,0,0,85,425,10,5,1,0,3,2,0,0,0,0,240,679
132098,Harry Kane,22,15/16,30000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,0,0,0,38,25,1,1,0,9,5,0,0,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,4,0,1,0,0,0,181,362,5,1,0,0,2,1,0,0,0,1,211,301
132098,Harry Kane,23,16/17,45000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,73,2,14,30,29,7,0,1,16,3,0,0,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,0,0,1,132,263,2,0,0,1,0,0,0,0,0,0,0,180,3,4,0,0,0,2,0,0,0,0,44,175
132098,Harry Kane,24,17/18,116700000,Tottenham Hotspur,['England'],Attack - Centre-Forward,35,3,4,37,30,3,0,2,9,5,0,0,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,4,0,0,0,0,85,597,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,1,69,274
132098,Harry Kane,25,18/19,150000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,93,3,17,28,17,4,0,1,4,5,0,0,4,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,0,0,2,1,0,0,0,156,778,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,0,0,0,1,139,139
132098,Harry Kane,26,19/20,135000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,93,3,16,29,18,2,0,0,3,4,0,0,2,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,0,2,75,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132098,Harry Kane,27,20/21,120000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,18,3,5,35,23,14,0,0,5,1,0,0,4,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,2,2,0,0,0,0,105,315,9,7,1,0,4,1,1,0,0,2,431,588
132098,Harry Kane,28,21/22,100000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,0,0,0,37,17,9,0,1,1,5,0,0,4,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,1,0,2,2,0,0,0,0,630,1019
132098,Harry Kane,29,22/23,90000000,Tottenham Hotspur,['England'],Attack - Centre-Forward,0,0,0,38,30,3,0,0,3,6,0,0,5,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,1,0,0,1,720,720,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,116,175
