ID,Player,Age,Season,Market Value,Club,Nationality,Position,days_injured,injuries,games_missed,appearances,own_goals,assists,substitutions_on,substitutions_off,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals,yellow_cards
187492,Julian Brandt,18,14/15,5000000,Bayer 04 Leverkusen,['Germany'],Midfield - Attacking Midfield,31,1,19,35,0,5,21,8,0,0,0,278,439,4,0
187492,Julian Brandt,19,15/16,10000000,Bayer 04 Leverkusen,['Germany'],Midfield - Attacking Midfield,4,1,1,44,0,9,21,13,0,0,0,312,529,10,0
187492,Julian Brandt,20,16/17,20000000,Bayer 04 Leverkusen,['Germany'],Midfield - Attacking Midfield,17,2,2,40,0,11,8,19,0,0,0,1303,534,4,0
187492,Julian Brandt,21,17/18,32500000,Bayer 04 Leverkusen,['Germany'],Midfield - Attacking Midfield,10,2,2,39,0,7,9,16,0,0,0,392,397,12,0
187492,Julian Brandt,22,18/19,42500000,Bayer 04 Leverkusen,['Germany'],Midfield - Attacking Midfield,0,0,0,43,0,17,5,13,0,0,0,917,662,10,0
187492,Julian Brandt,23,19/20,45000000,Borussia Dortmund,['Germany'],Midfield - Attacking Midfield,28,2,5,42,0,13,10,15,0,0,0,1070,668,7,1
187492,Julian Brandt,24,20/21,30000000,Borussia Dortmund,['Germany'],Midfield - Attacking Midfield,0,0,0,45,0,2,23,15,0,0,0,573,497,4,0
187492,Julian Brandt,25,21/22,25000000,Borussia Dortmund,['Germany'],Midfield - Attacking Midfield,35,3,7,40,0,10,10,19,0,0,0,231,686,9,3
187492,Julian Brandt,26,22/23,34000000,Borussia Dortmund,['Germany'],Midfield - Attacking Midfield,29,2,6,42,0,9,4,22,0,0,0,745,692,10,2
187492,Julian Brandt,27,23/24,40000000,Borussia Dortmund,['Germany'],Midfield - Attacking Midfield,13,2,3,47,0,16,10,21,0,0,0,939,1015,10,2
187492,Julian Brandt,28,23/24,40000000,Borussia Dortmund,['Germany'],Midfield - Attacking Midfield,13,2,3,47,0,16,10,21,0,0,0,939,1015,10,2
192565,Leroy Sané,18,13/14,300000,FC Schalke 04 U19,"['Germany', 'France']",Attack - Right Winger,0,0,0,38,0,15,3,21,0,0,0,1039,1268,13,3
192565,Leroy Sané,19,14/15,1200000,FC Schalke 04 U19,"['Germany', 'France']",Attack - Right Winger,48,2,9,27,0,3,9,9,0,0,0,629,1659,9,4
192565,Leroy Sané,19,15/16,8000000,FC Schalke 04,"['Germany', 'France']",Attack - Right Winger,3,1,1,42,0,7,13,12,0,0,0,836,611,9,5
192565,Leroy Sané,20,15/16,18000000,FC Schalke 04,"['Germany', 'France']",Attack - Right Winger,3,1,1,42,0,7,13,12,0,0,0,836,611,9,5
192565,Leroy Sané,21,16/17,30000000,Manchester City,"['Germany', 'France']",Attack - Right Winger,106,3,26,37,0,7,8,16,0,0,0,686,810,9,5
192565,Leroy Sané,21,17/18,60000000,Manchester City,"['Germany', 'France']",Attack - Right Winger,21,2,5,49,0,19,8,15,0,0,0,542,1194,14,5
192565,Leroy Sané,22,17/18,90000000,Manchester City,"['Germany', 'France']",Attack - Right Winger,21,2,5,49,0,19,8,15,0,0,0,542,1194,14,5
192565,Leroy Sané,22,18/19,100000000,Manchester City,"['Germany', 'France']",Attack - Right Winger,0,0,0,47,0,17,17,14,0,0,0,385,827,16,1
192565,Leroy Sané,23,19/20,100000000,Manchester City,"['Germany', 'France']",Attack - Right Winger,217,1,50,3,0,0,1,2,0,0,0,0,81,0,0
192565,Leroy Sané,24,19/20,80000000,Manchester City,"['Germany', 'France']",Attack - Right Winger,217,1,50,3,0,0,1,2,0,0,0,0,81,0,0
192565,Leroy Sané,24,20/21,70000000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,24,1,8,44,0,12,17,21,0,0,0,568,823,10,3
192565,Leroy Sané,25,20/21,65000000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,24,1,8,44,0,12,17,21,0,0,0,568,823,10,3
192565,Leroy Sané,25,21/22,70000000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,12,2,2,45,0,15,12,19,0,0,0,574,998,14,4
192565,Leroy Sané,26,22/23,70000000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,18,2,5,44,0,10,15,16,0,0,0,591,758,14,5
192565,Leroy Sané,27,23/24,77500000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,51,7,8,42,0,13,4,20,0,0,0,732,1087,10,5
192565,Leroy Sané,28,23/24,70000000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,51,7,8,42,0,13,4,20,0,0,0,732,1087,10,5
192565,Leroy Sané,28,24/25,60000000,Bayern Munich,"['Germany', 'France']",Attack - Right Winger,72,2,4,13,0,0,10,2,0,0,0,471,471,3,0
193082,Alejandro Grimaldo,16,11-Dec,100000,FC Barcelona U19,['Spain'],Defender - Left-Back,0,0,0,1,0,1,0,0,0,0,0,0,90,0,0
